Title	Air Date	Season	Episode	US Viewers in Millions	IMDB Rating	Director	Writer
The Otto Show	1992-04-23	3	22	17.5	7.7	Wes Archer	Jeff Martin
Rosebud	1993-10-21	5	4	19.5	8.9	Wes Archer	John Swartzwelder
Homer Alone	1992-02-06	3	15	23.7	8.0	Mark Kirkland	David M. Stern
Homer at the Bat	1992-02-20	3	17	24.6	8.6	Jim Reardon	John Swartzwelder
Whacking Day	1993-04-29	4	20	20.0	8.1	Jeff Lynch	John Swartzwelder
Lisa the Beauty Queen	1992-10-15	4	4	19.0	7.8	Mark Kirkland	Jeff Martin
Krusty Gets Kancelled	1993-05-13	4	22	19.4	8.2	David Silverman	John Swartzwelder
Black Widower	1992-04-09	3	21	17.3	8.2	David Silverman	Story by: Thomas Chastain & Sam Simon Teleplay by: Jon Vitti
A Streetcar Named Marge	1992-10-01	4	2	18.3	8.1	Rich Moore	Jeff Martin
Treehouse of Horror III	1992-10-29	4	5	25.1	8.4	Carlos Baeza	Al Jean, Mike Reiss, Jay Kogen, Wallace Wolodarsky, Sam Simon & Jon Vitti
Mr. Plow	1992-11-19	4	9	24.0	8.8	Jim Reardon	Jon Vitti
Homer and Apu	1994-02-10	5	13	21.8	8.3	Mark Kirkland	Greg Daniels
Homer Loves Flanders	1994-03-17	5	16	18.0	8.5	Wes Archer	David Richardson
Burns' Heir	1994-04-14	5	18	14.7	8.4	Mark Kirkland	Jace Richdale
Sideshow Bob's Last Gleaming	1995-11-26	7	9	14.2	8.0	Dominic Polcino	Spike Feresten
Grampa vs. Sexual Inadequacy	1994-12-04	6	10	14.1	8.0	Wes Archer	Bill Oakley & Josh Weinstein
A Fish Called Selma	1996-03-24	7	19	12.9	8.2	Mark Kirkland	Jack Barth
Bart's Comet	1995-02-05	6	14	18.7	8.6	Bob Anderson	John Swartzwelder
Home Sweet Homediddly-Dum-Doodily	1995-10-01	7	3	14.5	8.3	Susie Dietter	Jon Vitti
Scenes from the Class Struggle in Springfield	1996-02-04	7	14	14.4	7.7	Susie Dietter	Jennifer Crittenden
Bart vs. Australia	1995-02-19	6	16	15.1	8.5	Wes Archer	Bill Oakley & Josh Weinstein
King-Size Homer	1995-11-05	7	7	17.0	9.0	Jim Reardon	Dan Greaney
Secrets of a Successful Marriage	1994-05-19	5	22	15.6	8.0	Carlos Baeza	Greg Daniels
Lisa's Rival	1994-09-11	6	2	16.7	8.1	Mark Kirkland	Mike Scully
A Star Is Burns	1995-03-05	6	18	14.4	8.5	Susie Dietter	Ken Keeler
Lisa's Wedding	1995-03-19	6	19	14.4	8.3	Jim Reardon	Greg Daniels
Another Simpsons Clip Show	1994-09-25	6	3	13.5	6.0	David Silverman	Penny Wise[a]
Lisa the Vegetarian	1995-10-15	7	5	14.6	8.5	Mark Kirkland	David S. Cohen
The PTA Disbands	1995-04-16	6	21	11.8	8.1	Swinton O. Scott III	Jennifer Crittenden
Sideshow Bob Roberts	1994-10-09	6	5	14.4	8.3	Mark Kirkland	Bill Oakley & Josh Weinstein
Bart's Girlfriend	1994-11-06	6	7	15.3	8.0	Susie Dietter	Jonathan Collier
Who Shot Mr. Burns? (Part Two)	1995-09-17	7	1	16.0	8.9	Wes Archer	Bill Oakley & Josh Weinstein
The Springfield Connection	1995-05-07	6	23	12.7	8.2	Mark Kirkland	Jonathan Collier
Homer the Smithers	1996-02-25	7	17	14.1	8.9	Steven Dean Moore	John Swartzwelder
Homer Badman	1994-11-27	6	9	17.0	9.0	Jeff Lynch	Greg Daniels
Homer the Great	1995-01-08	6	12	20.1	8.9	Jim Reardon	John Swartzwelder
The Simpsons 138th Episode Spectacular	1995-12-03	7	10	16.4	7.5	Pound Foolish[A]	Penny Wise[b]
Two Bad Neighbors	1996-01-14	7	13	16.5	8.7	Wes Archer	Ken Keeler
Lisa the Iconoclast	1996-02-18	7	16	13.4	8.1	Mike B. Anderson	Jonathan Collier
Mother Simpson	1995-11-19	7	8	15.3	8.5	David Silverman	Richard Appel
"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish"""	1996-04-28	7	22	13.0	8.3	Jeffrey Lynch	Jonathan Collier
Homerpalooza	1996-05-19	7	24	12.9	8.0	Wesley Archer	Brent Forrester
Lisa's Sax	1997-10-19	9	3	12.9	8.1	Dominic Polcino	Al Jean
Simpsoncalifragilisticexpiala(Annoyed Grunt)cious	1997-02-07	8	13	17.7	7.7	Chuck Sheetz	Al Jean & Mike Reiss
