Title	Air Date	Season	Episode	US Viewers in Millions	IMDB Rating	Director	Writer
The Real Housewives of Fat Tony	2011-05-01	22	19	6.1	6.6	Lance Kramer	Dick Blasucci
Moms I'd Like to Forget	2011-01-09	22	10	12.6	6.3	Chris Clements	Brian Kelley
MoneyBart	2010-10-10	22	3	6.72	6.8	Nancy Kruse	Tim Long
Flaming Moe	2011-01-16	22	11	6.47	6.9	Chuck Sheetz	Matt Selman
I'm with Cupid	1999-02-14	10	14	7.7	7.3	Bob Anderson	Dan Greaney
Bart Stops to Smell the Roosevelts	2011-10-02	23	2	6.19	7.0	Steven Dean Moore	Tim Long
Replaceable You	2011-11-06	23	4	7.97	6.7	Mark Kirkland	Stephanie Gillis
The D'oh-cial Network	2012-01-15	23	11	11.48	7.0	Chris Clements	J. Stewart Burns
Married to the Blob	2014-01-12	25	10	4.83	7.1	Chris Clements	Tim Long
Ned 'n Edna's Blend	2012-05-13	23	21	4.07	6.7	Chuck Sheetz	Jeff Westbrook
Gone Abie Gone	2012-11-11	24	4	6.86	6.7	Matthew Nastuk	Joel H. Cohen
Homer Goes to Prep School	2013-01-06	24	9	8.97	6.9	Mark Kirkland	Brian Kelley
Four Regrettings and a Funeral	2013-11-03	25	3	5.43	6.5	Mark Kirkland	Marc Wilmore
Yellow Subterfuge	2013-12-08	25	7	6.85	7.0	Bob Anderson	Joel H. Cohen
A Totally Fun Thing That Bart Will Never Do Again	2012-04-29	23	19	5.0	7.4	Chris Clements	Matt Warburton
The Book Job	2011-11-20	23	6	5.77	7.8	Bob Anderson	Dan Vebber
The Daughter Also Rises	2012-02-12	23	13	4.26	6.5	Chuck Sheetz	Rob LaZebnik
Steal This Episode	2014-01-05	25	9	12.04	7.6	Matthew Nastuk	J. Stewart Burns
Exit Through the Kwik-E-Mart	2012-03-04	23	15	5.09	6.9	Steven Dean Moore	Marc Wilmore
Black Eyed, Please	2013-03-10	24	15	4.85	7.0	Matthew Schofield	John Frink
Them, Robot	2012-03-18	23	17	5.25	7.1	Michael Polcino	Michael Price
Treehouse of Horror XXIV	2013-10-06	25	2	6.42	7.1	Rob Oliver	Jeff Westbrook
Pulpit Friction	2013-04-28	24	18	4.54	6.5	Chris Clements	Bill Odenkirk
The Changing of the Guardian	2013-01-27	24	11	5.23	6.6	Bob Anderson	Rob LaZebnik
Moonshine River	2012-09-30	24	1	8.08	6.4	Bob Anderson	Tim Long
A Tree Grows in Springfield	2012-11-25	24	6	7.46	6.5	Timothy Bailey	Stephanie Gillis
Treehouse of Horror XXIII	2012-10-07	24	2	6.57	7.3	Steven Dean Moore	David Mandel & Brian Kelley
The Day the Earth Stood Cool	2012-12-09	24	7	7.44	7.2	Matthew Faughnan	Matt Selman
Hardly Kirk-ing	2013-02-17	24	13	4.57	7.0	Matthew Nastuk	Tom Gammill & Max Pross
The Fabulous Faker Boy	2013-05-12	24	20	4.16	6.3	Bob Anderson	Brian McConnachie
Labor Pains	2013-11-17	25	5	4.08	7.1	Matthew Faughnan	Don Payne & Mitchell H. Glazer
Dangers on a Train	2013-05-19	24	22	4.52	7.0	Steven Dean Moore	Michael Price
"Marge Simpson in: ""Screaming Yellow Honkers"""	1999-02-21	10	15	8.6	7.3	Mark Kirkland	David M. Stern
The Winter of His Content	2014-03-16	25	14	4.02	6.6	Chuck Sheetz	Kevin Curran
What to Expect When Bart's Expecting	2014-04-27	25	19	3.45	5.8	Matthew Nastuk	John Frink
Covercraft	2014-11-23	26	8	3.45	6.5	Steven Dean Moore	Matt Selman
Walking Big & Tall	2015-02-08	26	13	2.78	6.3	Chris Clements	Michael Price
Treehouse of Horror XXVI	2015-10-25	27	5	6.75	6.8	Steven Dean Moore	Joel H. Cohen
The Girl Code	2016-01-03	27	10	4.41	6.6	Chris Clements	Rob LaZebnik
Pay Pal	2014-05-11	25	21	3.66	6.7	Michael Polcino	David H. Steinberg
Every Man's Dream	2015-09-27	27	1	3.28	5.9	Matthew Nastuk	J. Stewart Burns
Let's Go Fly a Coot	2015-05-03	26	20	3.12	6.2	Chris Clements	Jeff Westbrook
Waiting for Duffman	2015-03-15	26	17	3.59	6.7	Steven Dean Moore	John Frink
Lisa with an 'S'	2015-11-22	27	7	5.64	6.3	Bob Anderson	Stephanie Gillis
Bart's New Friend	2015-01-11	26	11	4.28	7.3	Bob Anderson	Judd Apatow
Love Is in the N2-O2-Ar-CO2-Ne-He-CH4	2016-02-14	27	13	2.89	6.3	Mark Kirkland	John Frink
The Kids Are All Fight	2015-04-26	26	19	3.33	6.9	Bob Anderson	Rob LaZebnik
Sky Police	2015-03-08	26	16	3.79	6.9	Rob Oliver	Matt Selman
Clown in the Dumps	2014-09-28	26	1	8.53	5.8	Steven Dean Moore	Joel H. Cohen
Super Franchise Me	2014-10-12	26	3	7.33	6.5	Mark Kirkland	Bill Odenkirk
Much Apu About Something	2016-01-17	27	12	3.95	6.7	Bob Anderson	Michael Price
I Won't Be Home for Christmas	2014-12-07	26	9	6.52	6.8	Mark Kirkland	Al Jean
Treehouse of Horror XXV	2014-10-19	26	4	7.76	7.3	Matthew Faughnan	Stephanie Gillis
My Fare Lady	2015-02-15	26	14	2.67	6.7	Michael Polcino	Marc Wilmore
The Burns Cage	2016-04-03	27	17	2.32	6.5	Rob Oliver	Rob LaZebnik
Mathlete's Feat	2015-05-17	26	22	2.82	6.9	Michael Polcino	Michael Price
Lisa the Veterinarian	2016-03-06	27	15	3.09	6.3	Steven Dean Moore	Dan Vebber
Paths of Glory	2015-12-06	27	8	5.53	7.1	Steven Dean Moore	Michael Ferris
Puffless	2015-10-11	27	3	3.31	7.2	Rob Oliver	J. Stewart Burns
Brush with Greatness	1991-04-11	2	18	20.6	8.0	Jim Reardon	Brian K. Roberts
Flaming Moe's	1991-11-21	3	10	23.9	8.8	Rich Moore & Alan Smart	Robert Cohen
Bart the General	1990-02-04	1	5	27.1	8.1	David Silverman	John Swartzwelder
Brother, Can You Spare Two Dimes?	1992-08-27	3	24	17.2	8.2	Rich Moore	John Swartzwelder
Homer the Heretic	1992-10-08	4	3	19.3	9.0	Jim Reardon	George Meyer
Cape Feare	1993-10-07	5	2	20.0	9.0	Rich Moore	Jon Vitti
Bart's Inner Child	1993-11-11	5	7	18.7	7.7	Bob Anderson	George Meyer
Deep Space Homer	1994-02-24	5	15	18.2	8.8	Carlos Baeza	David Mirkin
Sweet Seymour Skinner's Baadasssss Song	1994-04-28	5	19	19.7	8.4	Bob Anderson	Bill Oakley & Josh Weinstein
The Boy Who Knew Too Much	1994-05-05	5	20	15.5	8.2	Jeffrey Lynch	John Swartzwelder
Treehouse of Horror V	1994-10-30	6	6	22.2	9.0	Jim Reardon	Greg Daniels, Dan McGrath, David S. Cohen & Bob Kushell
Who Shot Mr. Burns? (Part One)	1995-05-21	6	25	15.0	9.1	Jeffrey Lynch	Bill Oakley & Josh Weinstein
You Only Move Twice	1996-11-03	8	2	13.9	9.2	Mike Anderson	John Swartzwelder
El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer)	1997-01-05	8	9	14.9	8.5	Jim Reardon	Ken Keeler
Homer's Enemy	1997-05-04	8	23	11.8	9.2	Jim Reardon	John Swartzwelder
Treehouse of Horror VIII	1997-10-26	9	4	10.9	8.1	Mark Kirkland	Mike Scully, David S. Cohen & Ned Goldreyer
The Two Mrs. Nahasapeemapetilons	1997-11-16	9	7	11.4	7.7	Steven Dean Moore	Richard Appel
D'oh-in' in the Wind	1998-11-15	10	6	8.3	7.6	Mark Kirkland & Matthew Nastuk	Donick Cary
Skinner's Sense of Snow	2000-12-17	12	8	15.9	8.0	Lance Kramer	Tim Long
HOMR	2001-01-07	12	9	18.5	8.0	Mike Anderson	Al Jean
Trilogy of Error	2001-04-29	12	18	14.4	8.6	Mike B. Anderson	Matt Selman
Poppa's Got a Brand New Badge	2002-05-22	13	22	8.2	8.0	Pete Michels	Dana Gould
Treehouse of Horror XIII	2002-11-03	14	1	16.7	7.6	David Silverman	Marc Wilmore Brian Kelley Kevin Curran
Holidays of Future Passed	2011-12-11	23	9	6.43	8.2	Rob Oliver	J. Stewart Burns
Simpsorama	2014-11-09	26	6	6.7	7.9	Bob Anderson	J. Stewart Burns
Halloween of Horror	2015-10-18	27	4	3.69	7.5	Mike B. Anderson	Carolyn Omine
To Courier with Love	2016-05-08	27	20	2.52	6.7	Timothy Bailey	Bill Odenkirk
Homer's Odyssey	1990-01-21	1	3	27.5	7.5	Wesley Archer	Jay Kogen & Wallace Wolodarsky
Grift of the Magi	1999-12-19	11	9	7.76	7.3	Matthew Nastuk	Tom Martin
A Tale of Two Springfields	2000-11-05	12	2	16.2	7.4	Shaun Cashman	John Swartzwelder
Homer vs. Dignity	2000-11-26	12	5	15.0	7.2	Neil Affleck	Rob LaZebnik
The Old Man and the Key	2002-03-10	13	13	14.5	6.5	Lance Kramer	Jon Vitti
'Scuse Me While I Miss the Sky	2003-03-30	14	16	12.6	7.1	Steven Dean Moore	Dan Greaney & Allen Glazier
Margical History Tour	2004-02-08	15	11	8.9	7.1	Mike B. Anderson	Brian Kelley
Mobile Homer	2005-03-20	16	13	8.49	7.0	Raymond S. Persi	Tim Long
Don't Fear the Roofer	2005-05-01	16	16	11.92	7.4	Mark Kirkland	Kevin Curran
The Seemingly Never-Ending Story	2006-03-12	17	13	9.72	7.4	Raymond S. Persi	Ian Maxtone-Graham
Homer Simpson, This Is Your Wife	2006-03-26	17	15	10.09	6.5	Matthew Nastuk	Ricky Gervais
The Wettest Stories Ever Told	2006-04-23	17	18	7.04	6.7	Mike B. Anderson	Jeff Westbrook
Midnight Towboy	2007-10-07	19	3	7.7	7.2	Matthew Nastuk	Stephanie Gillis
Homer and Lisa Exchange Cross Words	2008-11-16	20	6	8.52	7.1	Michael Polcino	Tim Long
Coming to Homerica	2009-05-17	20	21	5.86	7.2	Steven Dean Moore	Brendan Hay
Treehouse of Horror XX	2009-10-18	21	4	8.59	7.3	Mike B. Anderson & Matthew Schofield	Daniel Chun
American History X-cellent	2010-04-11	21	17	5.65	6.7	Bob Anderson	Michael Price
The Squirt and the Whale	2010-04-25	21	19	5.94	6.9	Mark Kirkland	Matt Warburton
Treehouse of Horror XXI	2010-11-07	22	4	8.19	7.1	Bob Anderson	Joel H. Cohen
The Man in the Blue Flannel Pants	2011-11-27	23	7	5.61	6.8	Steven Dean Moore	Jeff Westbrook
Dark Knight Court	2013-03-17	24	16	4.89	7.1	Mark Kirkland	Billy Kimball & Ian Maxtone-Graham
The Saga of Carl	2013-05-19	24	21	4.01	7.2	Chuck Sheetz	Eric Kaplan
You Don't Have to Live Like a Referee	2014-03-30	25	16	3.91	6.9	Mark Kirkland	Michael Price
The Princess Guide	2015-03-01	26	15	3.93	6.6	Timothy Bailey	Brian Kelley
How Lisa Got Her Marge Back	2016-04-10	27	18	2.55	6.4	Bob Anderson	Jeff Martin
Orange Is the New Yellow	2016-05-22	27	22	2.54	6.9	Matthew Faughnan	Eric Horsted
New Kids on the Blecch	2001-02-25	12	14	18.1	7.2	Steven Dean Moore	Tim Long
Sweets and Sour Marge	2002-01-20	13	8	12.3	7.0	Mark Kirkland	Carolyn Omine
The Frying Game	2002-05-19	13	21	10.8	7.1	Michael Polcino	John Swartzwelder
I'm Spelling As Fast As I Can	2003-02-16	14	12	22.1	7.3	Nancy Kruse	Kevin Curran
A Star Is Born-Again	2003-03-02	14	13	14.4	7.1	Michael Marcantel	Brian Kelley
The Regina Monologues	2003-11-23	15	4	12.2	7.1	Mark Kirkland	John Swartzwelder
The Father, the Son, and the Holy Guest Star	2005-05-15	16	21	9.69	7.2	Michael Polcino	Matt Warburton
Marge's Son Poisoning	2005-11-13	17	5	11.4	6.9	Mike B. Anderson	Daniel Chun
Kiss Kiss, Bang Bangalore	2006-04-09	17	17	8.2	7.2	Mark Kirkland	Deb Lacusta & Dan Castellaneta
Jazzy and the Pussycats	2006-09-17	18	2	8.94	6.7	Steven Dean Moore	Daniel Chun
He Loves to Fly and He D'ohs	2007-09-23	19	1	9.7	6.7	Mark Kirkland	Joel H. Cohen
I Don't Wanna Know Why the Caged Bird Sings	2007-10-14	19	4	8.8	6.9	Bob Anderson	Dana Gould
Eternal Moonshine of the Simpson Mind	2007-12-16	19	9	10.15	8.2	Chuck Sheetz	J. Stewart Burns
Lisa the Drama Queen	2009-01-25	20	9	5.75	5.9	Matthew Nastuk	Brian Kelley
How the Test Was Won	2009-03-01	20	11	6.52	7.0	Lance Kramer	Michael Price
In the Name of the Grandfather	2009-03-22	20	14	6.15	6.3	Ralph Sosa	Matt Marshall
Wedding for Disaster	2009-03-29	20	15	6.58	6.8	Chuck Sheetz	Joel H. Cohen
The Ned-Liest Catch	2011-05-22	22	22	5.25	7.0	Chuck Sheetz	Jeff Westbrook
At Long Last Leave	2012-02-19	23	14	5.77	7.0	Matthew Nastuk	Michael Price
How I Wet Your Mother	2012-03-11	23	16	4.97	7.3	Lance Kramer	Billy Kimball & Ian Maxtone-Graham
Adventures in Baby-Getting	2012-11-04	24	3	5.65	6.9	Rob Oliver	Bill Odenkirk
Diggs	2014-03-09	25	12	2.69	6.4	Michael Polcino	Dan Greaney & Allen Glazier
Days of Future Future	2014-04-13	25	18	3.64	7.0	Bob Anderson	J. Stewart Burns
